	XM_001662595.2	XM_001657462.3	XM_021847043.1	XM_001664194.2	XM_021851049.1	XM_001649790.2	XM_021850261.1	XM_001652683.2	XM_021841341.1	XM_001648700.2	XM_021857384.1	XM_021852340.1	XM_001649087.2	XM_021853012.1	XM_021851750.1	XM_021840622.1	XM_001657120.2	XM_021851332.1	XM_021846286.1
SRR11006508	1	1	1	1	1	1	-1	1	0	0	0	1	0	1	1	1	1	0	0
SRR11006543	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006795	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11100188	1	1	1	1	1	1	1	1	0	0	0	1	-1	1	1	1	1	1	0
SRR11100105	0	1	1	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11100162	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006510	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0
SRR11238015	1	1	-1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1
SRR11237986	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	1	2
SRR11006916	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006749	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0
SRR11196658	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR5562872	1	1	1	1	1	1	1	1	0	0	-1	1	0	-1	1	1	1	1	0
SRR11006530	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006755	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	-1	0
SRR11237963	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	-1	1	1	2
SRR11196661	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11100172	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0
SRR11006821	1	1	1	1	1	1	1	1	-1	0	0	1	1	1	1	1	1	1	0
SRR11006772	1	1	1	1	1	1	-1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006564	1	1	1	1	1	1	1	-1	0	0	0	1	0	1	1	1	1	1	0
SRR11237942	1	1	1	1	1	1	1	0	0	0	0	1	0	-1	1	1	1	1	0
SRR11006521	1	1	1	-1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11237955	1	1	1	1	1	1	1	0	-1	0	0	1	1	0	1	1	1	1	2
SRR11006720	1	1	-1	1	1	1	1	1	0	0	-1	0	1	1	1	1	1	1	0
SRR11006648	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006887	1	1	1	1	-1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006865	1	1	1	1	1	1	-1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006550	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
