SampleID	Country	SubRegion	Region	Location	VSSC  median coverage	ACE1  median coverage	GSTE2  median coverage	GABA  median coverage
SRR11006788	Gabon	Gabon	West and Central Africa	Gabon: LopeVillage	1.05	1.05	1.0	0.975
SRR11006789	Kenya	East Kenya	East Kenya and South Africa	Kenya: Arabuko	1.0	0.9444444444444444	1.0555555555555556	1.0
SRR11006791	Gabon	Gabon	West and Central Africa	Gabon: LopeVillage	1.0	1.1666666666666665	0.6666666666666666	1.0
SRR11006792	Gabon	Gabon	West and Central Africa	Gabon: LopeVillage	1.0526315789473684	1.105263157894737	1.0	1.105263157894737
SRR11006794	Gabon	Gabon	West and Central Africa	Gabon: LopeVillage	1.125	1.1875	0.9375	1.0625
SRR11006795	Gabon	Gabon	West and Central Africa	Gabon: LopeVillage	1.0526315789473684	1.0526315789473684	1.0	1.0526315789473684
SRR11006796	Gabon	Gabon	West and Central Africa	Gabon: LopeVillage	0.9047619047619048	1.0476190476190477	0.9523809523809523	0.8095238095238095
SRR11006797	Gabon	Gabon	West and Central Africa	Gabon: LopeVillage	1.0	0.9411764705882353	1.0588235294117647	0.8235294117647058
SRR11006798	Gabon	Gabon	West and Central Africa	Gabon: LopeVillage	1.0476190476190477	1.0476190476190477	0.8571428571428571	1.0
SRR11006799	Gabon	Gabon	West and Central Africa	Gabon: LopeVillage	1.0	1.2222222222222223	1.2777777777777777	0.8888888888888888
SRR11006800	Kenya	East Kenya	East Kenya and South Africa	Kenya: Arabuko	0.9	1.1	0.95	1.05
SRR11006801	Gabon	Gabon	West and Central Africa	Gabon: LopeVillage	1.1176470588235294	1.2941176470588236	1.0588235294117647	1.1764705882352942
SRR11006802	Gabon	Gabon	West and Central Africa	Gabon: LopeVillage	1.0	1.0	1.0	1.0526315789473684
SRR11006803	Gabon	Gabon	West and Central Africa	Gabon: LopeVillage	0.9444444444444444	1.0555555555555556	0.8333333333333334	0.8888888888888888
SRR11006804	Gabon	Gabon	West and Central Africa	Gabon: Libreville	1.105263157894737	1.0526315789473684	0.7894736842105263	0.9473684210526315
SRR11006805	Gabon	Gabon	West and Central Africa	Gabon: Libreville	0.8947368421052632	1.0	1.0	1.105263157894737
SRR11006806	Gabon	Gabon	West and Central Africa	Gabon: Libreville	0.8947368421052632	1.0526315789473684	0.9473684210526315	1.0526315789473684
SRR11006807	Gabon	Gabon	West and Central Africa	Gabon: Libreville	1.0555555555555556	1.1388888888888888	1.1666666666666667	1.0
SRR11006808	Gabon	Gabon	West and Central Africa	Gabon: Libreville	1.0	1.2	0.825	0.95
SRR11006809	Gabon	Gabon	West and Central Africa	Gabon: Libreville	1.0909090909090908	1.0909090909090908	0.8636363636363636	1.0454545454545454
SRR11006810	Gabon	Gabon	West and Central Africa	Gabon: Libreville	0.95	1.35	0.9	1.15
SRR11006812	Gabon	Gabon	West and Central Africa	Gabon: Libreville	1.0434782608695652	1.0869565217391304	1.0	1.0869565217391304
SRR11006813	Gabon	Gabon	West and Central Africa	Gabon: Libreville	1.0952380952380953	1.2380952380952381	0.8571428571428571	1.0
SRR11006814	Gabon	Gabon	West and Central Africa	Gabon: Libreville	1.1111111111111112	1.2222222222222223	1.2777777777777777	1.0
SRR11006815	Gabon	Gabon	West and Central Africa	Gabon: Libreville	1.0	0.9333333333333333	0.8666666666666667	0.9333333333333333
